業務人員,,下單客戶,,接單類別,類別名稱,訂單號碼,客戶訂單號碼,接單日,生管交期,訂單交期,訂單金額,未出貨金額,幣別,訂單重量(KG),出貨重量(KG),未出貨重量(KG),結案否,出貨達成率
SP000671,顏劭仲,C01900,REYHER,S,小螺絲,25040035,4500026365,2025/4/30,2025/9/15,2025/10/15,540.00,540.00,EUR,349.50,0.00,349.50,N,
SP000671,顏劭仲,C03200,STALCO,S,小螺絲,25020023,C032-25022001,2025/2/20,2025/5/20,2025/5/29,"40,108.49",0.00,USD,"20,520.40","19,601.16",0.00,Y,100%
SP000671,顏劭仲,C03200,STALCO,S,小螺絲,25020024,C032-25022002,2025/2/20,2025/7/24,2025/8/7,"39,839.45","39,839.45",USD,"20,416.70",0.00,"20,416.70",N,
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,24090022,148.391,2024/9/25,2025/2/7,2025/2/14,"4,281.80",0.00,USD,"1,432.30","1,478.44",0.00,Y,100%
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,25040006,149.769,2025/4/7,2025/7/9,2025/7/23,"38,543.80","38,543.80",USD,"21,587.40",0.00,"21,587.40",N,
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,25040033,149.954,2025/4/30,2025/8/25,2025/9/8,"16,939.40","16,939.40",USD,"8,075.40",0.00,"8,075.40",N,
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,25040034,149.961,2025/4/30,2025/8/1,2025/8/15,"19,133.40","19,133.40",USD,"11,330.00",0.00,"11,330.00",N,
SP000671,顏劭仲,C03400,INDEX,S,小螺絲,25050026,150.166,2025/5/27,2025/9/15,2025/9/29,"5,371.00","5,371.00",USD,"2,343.00",0.00,"2,343.00",N,
SP000671,顏劭仲,C10900,D&C,S,小螺絲,25020036,183052,2025/2/27,2025/7/4,2025/7/21,"113,088.22","113,088.22",USD,"78,637.62",0.00,"78,637.62",N,
SP000671,顏劭仲,C10900,D&C,S,小螺絲,25020036,183052,2025/2/27,2025/5/29,2025/6/12,"76,717.80",0.00,USD,"53,086.60","56,609.33",0.00,Y,100%
SP000671,顏劭仲,D00700,HUTTIG,S,小螺絲,24090026,5430088-00,2024/9/30,2025/1/8,2025/1/15,"39,592.08",0.00,USD,"21,652.22","22,372.24",0.00,Y,100%
SP000671,顏劭仲,D00700,HUTTIG,S,小螺絲,24100018,3587056-00,2024/10/23,2025/2/14,2025/2/21,"41,198.40",0.00,USD,"16,344.00","16,253.20",0.00,Y,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/2/13,2025/2/20,"15,545.28",0.00,USD,"7,358.40","7,323.33",35.07,N,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/2/28,2025/3/14,"6,366.72",0.00,USD,"3,532.80","3,560.06",0.00,N,101%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/3/6,2025/3/13,"2,465.28",0.00,USD,792.00,811.50,0.00,Y,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24110026,64671-1124,2024/11/14,2025/2/13,2025/2/20,"214,493.28",0.00,USD,"110,065.20","109,654.51",0.00,Y,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120012,64687-1224,2024/12/11,2025/4/6,2025/4/20,"2,340.48",0.00,USD,"1,068.48","1,057.12",11.36,N,99%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120012,64687-1224,2024/12/11,2025/4/6,2025/4/20,"2,022.72",0.00,USD,846.72,868.00,0.00,Y,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120013,64686-1224,2024/12/11,2025/3/30,2025/4/4,821.76,0.00,USD,264.00,265.09,0.00,N,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120013,64686-1224,2024/12/11,2025/3/6,2025/3/20,"2,141.76",0.00,USD,"1,096.32","1,117.12",0.00,N,102%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,24120013,64686-1224,2024/12/11,2025/3/30,2025/4/4,"40,566.72",0.00,USD,"20,103.12","18,899.38",0.00,Y,100%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,25010007,64698-0125,2025/1/15,2025/4/18,2025/5/2,"11,266.56",0.00,USD,"5,401.92","5,263.05",138.87,N,97%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,25020018,64707-0225,2025/2/8,2025/5/6,2025/5/20,"55,893.12",0.00,USD,"28,583.28","27,587.07",996.21,N,97%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,25020018,64707-0225,2025/2/8,2025/6/6,2025/6/20,"4,408.80",0.00,USD,"1,944.00","1,902.36",41.64,N,98%
SP000671,顏劭仲,D01200,INTERCORP,S,小螺絲,25050022,64739-0525,2025/5/22,2025/8/27,2025/9/10,"134,337.36","134,337.36",USD,"63,887.28",0.00,"63,887.28",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24090015,4000084831,2024/9/18,2025/3/3,2025/3/10,"2,424.00",0.00,USD,"1,123.20","1,080.28",0.00,Y,100%
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24100006,4000086695,2024/10/11,2025/6/30,2025/6/30,"12,320.00","12,320.00",USD,"2,700.00",0.00,"2,700.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24100006,4000086695,2024/10/11,2025/6/16,2025/4/28,"34,584.00","34,584.00",USD,"15,807.00",0.00,"15,807.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,24100006,4000086695,2024/10/11,2025/1/27,2025/2/3,"24,640.00",0.00,USD,"5,400.00","5,273.08",0.00,Y,100%
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25010002,4000091727,2025/1/6,2025/6/23,2025/7/7,"1,614.60","1,614.60",USD,459.00,0.00,459.00,N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25020009,4000093013,2025/2/3,2025/8/4,2025/8/18,"45,278.10","45,278.10",USD,"22,255.70",0.00,"22,255.70",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25020009,4000093013,2025/2/3,2025/6/23,2025/7/7,"30,820.50","30,820.50",USD,"15,592.50",0.00,"15,592.50",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25020009,4000093013,2025/2/3,2025/5/26,2025/6/2,"8,937.60",0.00,USD,"4,099.20","4,089.60",0.00,Y,100%
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25040014,4000097814,2025/4/14,2025/7/25,2025/8/11,"12,555.00","12,555.00",USD,"2,970.00",0.00,"2,970.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25040014,4000097814,2025/4/14,2025/8/11,2025/8/25,"12,555.00","12,555.00",USD,"2,970.00",0.00,"2,970.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25040014,4000097814,2025/4/14,2025/7/25,2025/8/4,"11,012.40","11,012.40",USD,"4,708.20",0.00,"4,708.20",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25050001,4000099285,2025/5/7,2025/7/28,2025/8/11,"1,034.00","1,034.00",USD,484.00,0.00,484.00,N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25050021,4000100135,2025/5/20,2025/8/30,2025/9/8,"10,380.00","10,380.00",USD,"2,745.00",0.00,"2,745.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25060002,4000101016,2025/6/5,2025/10/13,2025/10/20,"12,959.20","12,959.20",USD,"5,082.00",0.00,"5,082.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25060002,4000101016,2025/6/5,2025/11/17,2025/11/24,"13,464.00","13,464.00",USD,"2,970.00",0.00,"2,970.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25060002,4000101016,2025/6/5,2025/9/8,2025/9/15,"2,080.00","2,080.00",USD,"1,075.00",0.00,"1,075.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25060002,4000101016,2025/6/5,2025/11/3,2025/11/10,"13,464.00","13,464.00",USD,"2,970.00",0.00,"2,970.00",N,
SP000671,顏劭仲,D04000,SIMPSON,S,小螺絲,25060002,4000101016,2025/6/5,2025/9/1,2025/9/8,"2,409.60","2,409.60",USD,"1,123.20",0.00,"1,123.20",N,
SP000671,顏劭仲,D04001,SIMPSON AB,S,小螺絲,25030017,4000095399,2025/3/12,2025/6/6,2025/6/20,"10,515.80","10,515.80",USD,"4,284.00",0.00,"4,284.00",N,
SP000671,顏劭仲,D04001,SIMPSON AB,S,小螺絲,25040022,4000097866,2025/4/24,2025/7/28,2025/8/11,"3,038.40","3,038.40",USD,"1,108.80",0.00,"1,108.80",N,
SP000671,顏劭仲,D04001,SIMPSON AB,S,小螺絲,25040022,4000097866,2025/4/24,2025/8/15,2025/9/1,"18,737.40","18,737.40",USD,"3,366.00",0.00,"3,366.00",N,
SP000671,顏劭仲,D04001,SIMPSON AB,S,小螺絲,25050018,4000099617,2025/5/15,2025/9/5,2025/9/19,"18,737.40","18,737.40",USD,"3,366.00",0.00,"3,366.00",N,
SP000671,顏劭仲,D04001,SIMPSON AB,S,小螺絲,25060004,4000100974,2025/6/5,2025/8/25,2025/9/8,"3,858.00","3,858.00",USD,"1,540.20",0.00,"1,540.20",N,
SP000671,顏劭仲,D04001,SIMPSON AB,S,小螺絲,25060004,4000100974,2025/6/5,2025/10/10,2025/10/24,"9,562.50","9,562.50",USD,"1,683.00",0.00,"1,683.00",N,
SP000671,顏劭仲,D04600,BOISE,S,小螺絲,25020033,GS0000009278,2025/2/26,2025/4/4,2025/4/11,"38,085.12",0.00,USD,"22,909.44","21,970.52",0.00,Y,100%
SP000671,顏劭仲,D04600,BOISE,S,小螺絲,25020034,GS0000009279,2025/2/26,2025/4/4,2025/4/11,"38,085.12",0.00,USD,"22,909.44","22,367.17",0.00,Y,100%
SP000671,顏劭仲,D09000,BMD,S,小螺絲,24100017,2419174,2024/10/23,2025/1/8,2025/1/15,"33,312.48",0.00,USD,"18,228.48","16,356.30",0.00,Y,100%
SP000671,顏劭仲,D09000,BMD,S,小螺絲,25020019,2422327,2025/2/11,2025/5/25,2025/6/9,"39,538.80","39,538.80",USD,"18,144.00",0.00,"18,144.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100010,324948,2024/10/18,2025/2/4,2025/2/11,"69,052.80",0.00,USD,"20,015.28","18,627.31",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,O,其他,24100011,324949,2024/10/18,2025/2/18,2025/4/21,623.20,0.00,USD,110.56,59.78,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100011,324949,2024/10/18,2025/2/18,2025/2/25,"69,052.80",0.00,USD,"20,015.28","19,063.79",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100012,324950,2024/10/18,2025/3/4,2025/3/11,"68,680.64",0.00,USD,"20,002.88","19,199.20",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100013,324947,2024/10/18,2025/1/21,2025/1/28,"69,052.80",0.00,USD,"20,015.28","19,058.80",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100014,325008,2024/10/22,2025/1/10,2025/1/17,"45,973.68",0.00,USD,"19,393.44","19,928.29",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24100023,325176,2024/10/28,2025/2/28,2025/3/7,"136,178.20",0.00,USD,"14,060.58","12,932.17",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110002,EB0314078庫存單-1,2024/11/4,2025/2/24,2025/3/7,"36,320.00","36,320.00",USD,"9,176.00",0.00,"9,176.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110003,EB0314074庫存單-1,2024/11/4,2025/2/27,2025/3/7,"115,507.20","115,507.20",USD,"35,712.00",0.00,"35,712.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110004,EB0314108庫存單-1,2024/11/4,2025/2/24,2025/3/7,"27,776.00","27,776.00",USD,"6,755.84",0.00,"6,755.84",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110005,EB0314104庫存單-1,2024/11/4,2025/2/24,2025/3/7,"82,368.00","82,368.00",USD,"24,972.48",0.00,"24,972.48",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110007,EB0314148庫存單-1,2024/11/5,2025/2/24,2025/3/7,"6,976.00","6,976.00",USD,"1,609.60",0.00,"1,609.60",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110008,325528,2024/11/7,2025/3/4,2025/3/11,"69,052.80",0.00,USD,"20,015.28","18,635.94",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110009,325529,2024/11/7,2025/3/11,2025/3/18,"68,680.64",0.00,USD,"20,002.88","18,690.53",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110011,325530,2024/11/7,2025/2/26,2025/3/4,"69,131.84",0.00,USD,"19,900.54","18,879.94",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110012,325531,2024/11/7,2025/3/18,2025/3/25,"69,052.80",0.00,USD,"20,015.28","18,727.93",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110013,325532,2024/11/7,2025/3/25,2025/4/1,"69,052.80",0.00,USD,"20,015.28","18,823.04",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,O,其他,24110014,325533,2024/11/7,2025/3/26,2025/3/26,30.00,0.00,USD,2.00,1.62,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110014,325533,2024/11/7,2025/4/1,2025/4/8,"68,680.64",0.00,USD,"20,002.88","18,373.28",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110015,325534,2024/11/7,2025/4/8,2025/4/15,"69,052.80",0.00,USD,"20,015.28","19,080.81",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110017,325527,2024/11/7,2025/2/26,2025/3/11,"28,876.80",0.00,USD,"8,928.00","8,304.82",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110017,325527,2024/11/7,2025/2/26,2025/3/4,"40,176.00",0.00,USD,"11,087.28","10,377.53",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110018,EB0314074庫存單-2,2024/11/8,2025/3/24,2025/3/31,"126,336.00","126,336.00",USD,"39,060.00",0.00,"39,060.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110018,EB0314074庫存單-2,2024/11/8,2025/3/24,2025/3/31,"18,048.00",0.00,USD,"5,580.00",0.00,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110019,EB0314104庫存單-2,2024/11/8,2025/3/24,2025/3/31,"104,676.00","104,676.00",USD,"31,735.88",0.00,"31,735.88",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110020,EB0314148庫存單-2,2024/11/8,2025/3/24,2025/3/31,"6,976.00","6,976.00",USD,"1,609.60",0.00,"1,609.60",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110021,EB0314074庫存單-3,2024/11/8,2025/4/25,2025/5/1,"144,384.00","144,384.00",USD,"44,640.00",0.00,"44,640.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110022,EB0314104庫存單-3,2024/11/8,2025/4/25,2025/5/1,"78,507.00","78,507.00",USD,"23,801.91",0.00,"23,801.91",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110022,EB0314104庫存單-3,2024/11/8,2025/4/25,2025/5/1,"26,169.00",0.00,USD,"7,933.97",0.00,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110023,EB0314148庫存單-3,2024/11/8,2025/4/25,2025/5/1,"6,976.00",0.00,USD,"1,609.60",0.00,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24110025,325592,2024/11/13,2025/3/13,2025/3/20,"142,537.96",0.00,USD,"15,120.94","13,943.25",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24120014,326071,2024/12/12,2025/3/5,2025/3/19,"47,831.76",0.00,USD,"20,567.61","18,973.16",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24120015,326081,2024/12/12,2025/3/5,2025/3/19,"46,516.92",0.00,USD,"19,588.26","20,035.00",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010001,326334,2025/1/6,2025/5/17,2025/5/31,"128,317.84",0.00,USD,"13,736.46","12,811.10",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010005,326446,2025/1/14,2025/4/3,2025/4/18,"47,105.28",0.00,USD,"19,967.65","17,504.92",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010008,326555,2025/1/22,2025/5/30,2025/6/16,"135,591.68",0.00,USD,"14,972.26","15,000.37",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010009,326572,2025/1/23,2025/5/8,2025/5/22,"46,942.08",0.00,USD,"20,279.21","20,097.04",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,T,BIT,25020016,326740,2025/2/7,2025/5/25,2025/5/29,200.00,0.00,USD,9.52,9.68,0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25020016,326740,2025/2/7,2025/5/19,2025/6/2,"65,831.04",0.00,USD,"18,761.72","17,649.12",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25020020,326124,2025/2/12,2025/6/6,2025/6/20,"138,444.24","138,444.24",USD,"18,533.16",0.00,"18,533.16",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030001,327006,2025/3/3,2025/4/7,2025/4/21,"62,087.68",0.00,USD,"17,418.59","17,129.92",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030002,327007,2025/3/3,2025/4/14,2025/4/28,"61,818.24",0.00,USD,"16,499.95","16,119.20",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030003,327008,2025/3/3,2025/4/14,2025/4/28,"61,930.88",0.00,USD,"17,813.17","17,115.84",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030005,327009,2025/3/3,2025/4/21,2025/5/5,"61,877.12",0.00,USD,"17,264.53","16,644.00",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030006,327010,2025/3/3,2025/4/21,2025/5/5,"61,911.68",0.00,USD,"17,860.79","16,922.40",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030007,327011,2025/3/3,2025/4/28,2025/5/12,"61,835.52",0.00,USD,"17,406.43","16,861.28",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030008,327012,2025/3/3,2025/4/28,2025/5/12,"61,966.72",0.00,USD,"17,969.39","17,243.52",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030009,327013,2025/3/3,2025/5/5,2025/5/12,"12,499.20",0.00,USD,"3,040.13","2,966.40",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030009,327013,2025/3/3,2025/5/5,2025/5/19,"49,416.32",0.00,USD,"14,317.14","13,716.16",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/7/18,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/7/11,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/8/1,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/8/7,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/7/25,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/8/14,2025/7/18,"108,288.00","108,288.00",USD,"33,480.00",0.00,"33,480.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030012,EB0314104庫存單-5,2025/3/4,2025/8/1,2025/7/18,"52,338.00","52,338.00",USD,"15,867.94",0.00,"15,867.94",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030012,EB0314104庫存單-5,2025/3/4,2025/8/8,2025/7/18,"52,338.00","52,338.00",USD,"15,867.94",0.00,"15,867.94",N,
